benchmark_set,structure,schema_version,model,category,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
complex,flat,advanced,gpt-4.1-mini,complex_pipeline_stress,15,5,15,1.0,1.0,1.0,1.0,0.0,15.0,15.0,0.0,0.0,0,10243.5333
complex,flat,advanced,gpt-5-mini,complex_pipeline_stress,15,5,8,0.5333,0.7273,0.7273,0.7273,0.4671,15.2727,15.2727,4.9091,4.9091,4,28527.2
complex,flat,naive,gpt-4.1-mini,complex_pipeline_stress,15,5,9,0.6,0.658,0.6741,0.665,0.4313,15.0,17.0,5.8667,7.8667,0,6381.4667
complex,flat,naive,gpt-5-mini,complex_pipeline_stress,15,5,8,0.5333,0.5714,0.5714,0.5714,0.5136,14.6429,14.6429,7.7143,7.7143,1,29074.8667
complex,structured,advanced,gpt-4.1-mini,complex_pipeline_stress,15,5,6,0.4,0.5784,0.5972,0.5868,0.4502,14.0,14.3333,7.25,7.5833,3,15224.2
complex,structured,advanced,gpt-5-mini,complex_pipeline_stress,15,5,7,0.4667,0.5833,0.5833,0.5833,0.5149,15.5833,15.5833,7.5,7.5,3,22218.6667
complex,structured,naive,gpt-4.1-mini,complex_pipeline_stress,15,5,6,0.4,0.5544,0.5238,0.5324,0.4799,14.3846,10.3846,8.6154,4.6154,2,3010.4
complex,structured,naive,gpt-5-mini,complex_pipeline_stress,15,5,6,0.4,0.5778,0.4842,0.5143,0.4639,15.0,14.3333,9.4,8.7333,0,22795.0
normal,flat,advanced,gpt-4.1-mini,aggregate_group_sum,15,5,3,0.2,0.2143,0.2143,0.2143,0.4258,264.5,264.5,258.0714,258.0714,1,1125.3333
normal,flat,advanced,gpt-4.1-mini,quantifier_exists,15,5,4,0.2667,0.7938,0.6179,0.6492,0.4309,11200.2,11157.4667,49.7333,7.0,0,2710.5333
normal,flat,advanced,gpt-4.1-mini,aggregate_group_count,15,5,6,0.4,0.7691,0.7691,0.7691,0.4019,57.6,57.6,0.8,0.8,0,1093.4
