benchmark,structure,schema,model,name,runs,questions_mean,success_rate_mean,success_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
standard,flat,technical,gpt-4.1-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,technical,gpt-4.1-mini,find_projection,3,5,0.8000000000000002,1.3597399555105182e-16,0.9286,0,0.9499999999999998,1.3597399555105182e-16,0.9385,0
standard,flat,technical,gpt-4.1-mini,selection_conditions,3,5,0.6,0,0.6889,0,0.7033999999999999,0.051788319146309436,0.6906333333333333,0.027828282974939972
standard,flat,technical,gpt-4.1-mini,text_or_pattern_filter,3,5,0.8000000000000002,1.3597399555105182e-16,0.8001,0,1,0,0.8001,0
standard,flat,technical,gpt-4.1-mini,alias_projection,3,5,0.9333333333333332,0.11547005383792514,0.9333333333333332,0.11547005383792514,0.9333333333333332,0.11547005383792514,0.9333333333333332,0.11547005383792514
standard,flat,technical,gpt-4.1-mini,quantifier_exists,3,5,0.26666666666666666,0.11547005383792516,0.7938,0,0.6179666666666667,0.00011547005383791244,0.6492333333333333,0.00005773502691895622
standard,flat,technical,gpt-4.1-mini,aggregate_group_count,3,5,0.4000000000000001,6.798699777552591e-17,0.7691,0,0.7691,0,0.7691,0
standard,flat,technical,gpt-4.1-mini,aggregate_group_sum,3,4.666666666666667,0.21666666666666667,0.02886751345948128,0.21666666666666667,0.02886751345948128,0.21666666666666667,0.02886751345948128,0.21666666666666667,0.02886751345948128
standard,flat,technical,gpt-4.1-mini,aggregate_group_avg,3,5,0.6,0,0.7976,0,0.7976,0,0.7976,0
standard,flat,technical,gpt-4.1-mini,aggregate_having_sort_limit,3,5,0.6,0,0.66,0,0.66,0,0.66,0
standard,flat,technical,gpt-4.1-mini,lookup_join,3,5,0.4666666666666666,0.11547005383792512,0.5989666666666666,0.10113759604288274,0.6481666666666667,0.11547005383792512,0.6179666666666667,0.10486831424855331
standard,flat,technical,gpt-5-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,technical,gpt-5-mini,find_projection,3,5,0.8000000000000002,1.3597399555105182e-16,0.975,0,0.975,0,0.975,0
standard,flat,technical,gpt-5-mini,selection_conditions,3,5,0.8666666666666667,0.11547005383792514,0.8666666666666667,0.11547005383792514,0.8666666666666667,0.11547005383792514,0.8666666666666667,0.11547005383792514
standard,flat,technical,gpt-5-mini,text_or_pattern_filter,3,5,1,0,0.9889,0.019225763964014538,1,0,0.9939333333333332,0.010507774899251187
standard,flat,technical,gpt-5-mini,alias_projection,3,4.666666666666667,1,0,1,0,1,0,1,0
standard,flat,technical,gpt-5-mini,quantifier_exists,3,5,0.6,0,0.7999333333333333,0.000057735026918956215,0.6365,0,0.6617,0
standard,flat,technical,gpt-5-mini,aggregate_group_count,3,5,0.4000000000000001,6.798699777552591e-17,0.5926,0,0.5926,0,0.5926,0
standard,flat,technical,gpt-5-mini,aggregate_group_sum,3,5,0.5333333333333333,0.11547005383792514,0.5879333333333333,0.020900079744664457,0.5879333333333333,0.020900079744664457,0.5879333333333333,0.020900079744664457
standard,flat,technical,gpt-5-mini,aggregate_group_avg,3,5,0.4666666666666666,0.23094010767585027,0.7557666666666667,0.072457458783298,0.7557666666666667,0.072457458783298,0.7557666666666667,0.072457458783298
standard,flat,technical,gpt-5-mini,aggregate_having_sort_limit,3,5,0.8666666666666667,0.11547005383792512,0.9066666666666666,0.08082903768654762,0.9066666666666666,0.08082903768654762,0.9066666666666666,0.08082903768654762
standard,flat,technical,gpt-5-mini,lookup_join,3,4.333333333333333,0.6166666666666667,0.12583057392117916,0.9060333333333334,0.06196501701228953,0.9722666666666666,0.012151680267902603,0.9279000000000001,0.04303405628104325
standard,flat,naive,gpt-4.1-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,naive,gpt-4.1-mini,find_projection,3,5,0.8000000000000002,1.3597399555105182e-16,0.975,0,0.975,0,0.975,0
standard,flat,naive,gpt-4.1-mini,selection_conditions,3,5,0.8000000000000002,1.3597399555105182e-16,0.8000000000000002,1.3597399555105182e-16,0.8000000000000002,1.3597399555105182e-16,0.8000000000000002,1.3597399555105182e-16
standard,flat,naive,gpt-4.1-mini,text_or_pattern_filter,3,4,0.8333333333333334,0.14433756729740646,0.8334,0.1442798322704875,1,0,0.8334,0.1442798322704875
standard,flat,naive,gpt-4.1-mini,alias_projection,3,4,1,0,1,0,1,0,1,0
standard,flat,naive,gpt-4.1-mini,quantifier_exists,3,4.666666666666667,0.21666666666666667,0.02886751345948128,0.7792666666666667,0.025345874088958407,0.5937333333333333,0.04185789451624787,0.6251666666666666,0.04162695440857205
standard,flat,naive,gpt-4.1-mini,aggregate_group_count,3,5,0.4000000000000001,6.798699777552591e-17,0.7691,0,0.7691,0,0.7691,0
standard,flat,naive,gpt-4.1-mini,aggregate_group_sum,3,4.666666666666667,0.21666666666666667,0.02886751345948128,0.21666666666666667,0.02886751345948128,0.21666666666666667,0.02886751345948128,0.21666666666666667,0.02886751345948128
standard,flat,naive,gpt-4.1-mini,aggregate_group_avg,3,5,0.6,0,0.7976,0,0.7976,0,0.7976,0
