benchmark_set,structure,schema,model,name,runs,questions_mean,successful_mean,success_rate_mean,avg_precision_mean,avg_recall_mean,avg_f1_mean
complex,flat,advanced,gpt-4.1-mini,complex_pipeline_stress,3,5,5,1,1,1,1
complex,flat,advanced,gpt-5-mini,complex_pipeline_stress,3,3.6666666666666665,2.6666666666666665,0.7222333333333334,0.7222333333333334,0.7222333333333334,0.7222333333333334
complex,flat,naive,gpt-4.1-mini,complex_pipeline_stress,3,5,3,0.6,0.658,0.6740999999999998,0.6650666666666667
complex,flat,naive,gpt-5-mini,complex_pipeline_stress,3,4.666666666666667,2.6666666666666665,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
complex,structured,advanced,gpt-4.1-mini,complex_pipeline_stress,3,4,2,0.5,0.5784333333333334,0.5972,0.5868000000000001
complex,structured,advanced,gpt-5-mini,complex_pipeline_stress,3,4,2.3333333333333335,0.5611,0.5611,0.5611,0.5611
complex,structured,naive,gpt-4.1-mini,complex_pipeline_stress,3,4.333333333333333,2,0.4666666666666666,0.5471333333333334,0.5206666666666667,0.5281
complex,structured,naive,gpt-5-mini,complex_pipeline_stress,3,5,2,0.4000000000000001,0.5778,0.4842,0.5143
main,flat,advanced,gpt-4.1-mini,aggregate_group_avg,3,5,3,0.6,0.7976,0.7976,0.7976
main,flat,advanced,gpt-4.1-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.7691,0.7691,0.7691
main,flat,advanced,gpt-4.1-mini,aggregate_group_sum,3,4.666666666666667,1,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667
main,flat,advanced,gpt-4.1-mini,aggregate_having_sort_limit,3,5,3,0.6,0.66,0.66,0.66
main,flat,advanced,gpt-4.1-mini,alias_projection,3,5,4.666666666666667,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332
main,flat,advanced,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,flat,advanced,gpt-4.1-mini,find_projection,3,5,4,0.8000000000000002,0.9286,0.9499999999999998,0.9385
main,flat,advanced,gpt-4.1-mini,lookup_join,3,5,2.3333333333333335,0.4666666666666666,0.5989666666666666,0.6481666666666667,0.6179666666666667
main,flat,advanced,gpt-4.1-mini,quantifier_exists,3,5,1.3333333333333333,0.26666666666666666,0.7938,0.6179666666666667,0.6492333333333333
main,flat,advanced,gpt-4.1-mini,selection_conditions,3,5,3,0.6,0.6889,0.7033999999999999,0.6906333333333333
main,flat,advanced,gpt-4.1-mini,text_or_pattern_filter,3,5,4,0.8000000000000002,0.8001,1,0.8001
main,flat,advanced,gpt-5-mini,aggregate_group_avg,3,5,2.3333333333333335,0.4666666666666666,0.7557666666666667,0.7557666666666667,0.7557666666666667
main,flat,advanced,gpt-5-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.5926,0.5926,0.5926
main,flat,advanced,gpt-5-mini,aggregate_group_sum,3,5,2.6666666666666665,0.5333333333333333,0.5879333333333333,0.5879333333333333,0.5879333333333333
main,flat,advanced,gpt-5-mini,aggregate_having_sort_limit,3,5,4.333333333333333,0.8666666666666667,0.9066666666666666,0.9066666666666666,0.9066666666666666
main,flat,advanced,gpt-5-mini,alias_projection,3,4.666666666666667,4.666666666666667,1,1,1,1
main,flat,advanced,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,flat,advanced,gpt-5-mini,find_projection,3,5,4,0.8000000000000002,0.975,0.975,0.975
main,flat,advanced,gpt-5-mini,lookup_join,3,4.333333333333333,2.6666666666666665,0.6166666666666667,0.9060333333333334,0.9722666666666666,0.9279000000000001
main,flat,advanced,gpt-5-mini,quantifier_exists,3,5,3,0.6,0.7999333333333333,0.6365,0.6617
main,flat,advanced,gpt-5-mini,selection_conditions,3,5,4.333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
main,flat,advanced,gpt-5-mini,text_or_pattern_filter,3,5,5,1,0.9889,1,0.9939333333333332
main,flat,naive,gpt-4.1-mini,aggregate_group_avg,3,5,3,0.6,0.7976,0.7976,0.7976
main,flat,naive,gpt-4.1-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.7691,0.7691,0.7691
main,flat,naive,gpt-4.1-mini,aggregate_group_sum,3,4.666666666666667,1,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667
main,flat,naive,gpt-4.1-mini,aggregate_having_sort_limit,3,5,3,0.6,0.66,0.66,0.66
main,flat,naive,gpt-4.1-mini,alias_projection,3,4,4,1,1,1,1
main,flat,naive,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,flat,naive,gpt-4.1-mini,find_projection,3,5,4,0.8000000000000002,0.975,0.975,0.975
main,flat,naive,gpt-4.1-mini,lookup_join,3,3.3333333333333335,1,0.30553333333333327,0.7126666666666667,0.9655333333333335,0.8076666666666666
main,flat,naive,gpt-4.1-mini,quantifier_exists,3,4.666666666666667,1,0.21666666666666667,0.7792666666666667,0.5937333333333333,0.6251666666666666
main,flat,naive,gpt-4.1-mini,selection_conditions,3,5,4,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002
main,flat,naive,gpt-4.1-mini,text_or_pattern_filter,3,4,3.3333333333333335,0.8333333333333334,0.8334,1,0.8334
main,flat,naive,gpt-5-mini,aggregate_group_avg,3,5,2.6666666666666665,0.5333333333333333,0.8023333333333333,0.8023333333333333,0.8023333333333333
main,flat,naive,gpt-5-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.5926,0.5926,0.5926
main,flat,naive,gpt-5-mini,aggregate_group_sum,3,5,2.6666666666666665,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
main,flat,naive,gpt-5-mini,aggregate_having_sort_limit,3,5,5,1,1,1,1
main,flat,naive,gpt-5-mini,alias_projection,3,4,4,1,1,1,1
main,flat,naive,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,flat,naive,gpt-5-mini,find_projection,3,5,4,0.8000000000000002,0.975,0.975,0.975
main,flat,naive,gpt-5-mini,lookup_join,3,5,3.3333333333333335,0.6666666666666666,0.8892000000000001,0.9766,0.8978
main,flat,naive,gpt-5-mini,quantifier_exists,3,5,4,0.8000000000000002,0.8646666666666668,0.8605333333333333,0.8625333333333334
main,flat,naive,gpt-5-mini,selection_conditions,3,5,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
main,flat,naive,gpt-5-mini,text_or_pattern_filter,3,5,4.666666666666667,0.9333333333333332,0.9334666666666666,1,0.9335999999999999
main,structured,advanced,gpt-4.1-mini,aggregate_group_avg,3,5,3,0.6,0.7976,0.7976,0.7976
main,structured,advanced,gpt-4.1-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.5926,0.5926,0.5926
main,structured,advanced,gpt-4.1-mini,aggregate_group_sum,3,5,1,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
main,structured,advanced,gpt-4.1-mini,aggregate_having_sort_limit,3,5,2,0.4000000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001
main,structured,advanced,gpt-4.1-mini,alias_projection,3,4.666666666666667,3.3333333333333335,0.7166666666666668,0.7357666666666667,0.7357666666666667,0.7357666666666667
main,structured,advanced,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,structured,advanced,gpt-4.1-mini,find_projection,3,5,3,0.6,0.7628,0.9499999999999998,0.7969
main,structured,advanced,gpt-4.1-mini,lookup_join,3,5,1,0.20000000000000004,0.4431,0.5668,0.49300000000000005
main,structured,advanced,gpt-4.1-mini,quantifier_exists,3,5,1,0.20000000000000004,0.6645333333333333,0.49513333333333326,0.5232333333333333
main,structured,advanced,gpt-4.1-mini,selection_conditions,3,5,3,0.6,0.6889,0.7333,0.7067
main,structured,advanced,gpt-4.1-mini,text_or_pattern_filter,3,5,3,0.6,0.6463,1,0.6753
main,structured,advanced,gpt-5-mini,aggregate_group_avg,3,5,2.6666666666666665,0.5333333333333333,0.7754,0.7754,0.7754
main,structured,advanced,gpt-5-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.6514333333333333,0.6514333333333333,0.6514333333333333
main,structured,advanced,gpt-5-mini,aggregate_group_sum,3,5,2.3333333333333335,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666666
main,structured,advanced,gpt-5-mini,aggregate_having_sort_limit,3,5,4,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002
main,structured,advanced,gpt-5-mini,alias_projection,3,5,5,1,1,1,1
main,structured,advanced,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,structured,advanced,gpt-5-mini,find_projection,3,5,3,0.6,0.7782666666666667,0.9583333333333334,0.8090666666666667
main,structured,advanced,gpt-5-mini,lookup_join,3,4.666666666666667,2,0.43333333333333335,0.7065333333333332,0.9050666666666668,0.7759333333333333
main,structured,advanced,gpt-5-mini,quantifier_exists,3,5,2,0.4000000000000001,0.5999,0.43649999999999994,0.4617
main,structured,advanced,gpt-5-mini,selection_conditions,3,5,3.6666666666666665,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7333333333333334
main,structured,advanced,gpt-5-mini,text_or_pattern_filter,3,5,4,0.8000000000000002,0.8351666666666667,1,0.8691333333333334
main,structured,naive,gpt-4.1-mini,aggregate_group_avg,3,5,3,0.6,0.7976,0.7976,0.7976
main,structured,naive,gpt-4.1-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.7691,0.7691,0.7691
main,structured,naive,gpt-4.1-mini,aggregate_group_sum,3,5,1,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
main,structured,naive,gpt-4.1-mini,aggregate_having_sort_limit,3,5,3.6666666666666665,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7333333333333334
main,structured,naive,gpt-4.1-mini,alias_projection,3,5,4,0.8000000000000002,0.8190666666666667,0.8189000000000001,0.8189666666666667
main,structured,naive,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,structured,naive,gpt-4.1-mini,find_projection,3,5,3,0.6,0.8249999999999998,0.874,0.8414
main,structured,naive,gpt-4.1-mini,lookup_join,3,4.333333333333333,0.6666666666666666,0.16666666666666666,0.21953333333333336,0.32156666666666667,0.2522333333333333
main,structured,naive,gpt-4.1-mini,quantifier_exists,3,5,1,0.20000000000000004,0.7271333333333333,0.5501666666666667,0.5819666666666666
main,structured,naive,gpt-4.1-mini,selection_conditions,3,4,3,0.75,0.75,0.75,0.75
main,structured,naive,gpt-4.1-mini,text_or_pattern_filter,3,5,3,0.6,0.65,0.8986,0.6664
main,structured,naive,gpt-5-mini,aggregate_group_avg,3,5,1.6666666666666667,0.3333333333333333,0.6885333333333333,0.6885333333333333,0.6885333333333333
main,structured,naive,gpt-5-mini,aggregate_group_count,3,5,2,0.4000000000000001,0.5926,0.5926,0.5926
main,structured,naive,gpt-5-mini,aggregate_group_sum,3,5,3,0.6,0.6,0.6,0.6
main,structured,naive,gpt-5-mini,aggregate_having_sort_limit,3,5,4,0.8000000000000002,0.86,0.86,0.86
main,structured,naive,gpt-5-mini,alias_projection,3,4,4,1,1,1,1
main,structured,naive,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,structured,naive,gpt-5-mini,find_projection,3,5,4,0.8000000000000002,0.975,0.975,0.975
main,structured,naive,gpt-5-mini,lookup_join,3,4.666666666666667,1.3333333333333333,0.2833333333333334,0.5265666666666667,0.6807,0.5889666666666665
main,structured,naive,gpt-5-mini,quantifier_exists,3,5,1,0.20000000000000004,0.7938,0.6162,0.6483
main,structured,naive,gpt-5-mini,selection_conditions,3,5,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
main,structured,naive,gpt-5-mini,text_or_pattern_filter,3,4.666666666666667,4.666666666666667,1,1,1,1
