benchmark_set,structure,schema,model,runs,questions_per_run,scored_per_run,success_rate_mean,success_rate_std,avg_precision_mean,avg_recall_mean,avg_f1_mean,avg_f1_std,errors_mean,avg_time_ms_mean
complex,flat,advanced,gpt-4.1-mini,3,5,5,1,0,1,1,1,0,0,10243.666666666666
complex,flat,advanced,gpt-5-mini,3,5,4,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.7222333333333334,0.7222333333333334,0.04809327742349585,1.3333333333333333,28527.333333333332
complex,flat,naive,gpt-4.1-mini,3,5,5,0.6,0,0.658,0.6740999999999998,0.6650666666666667,0.028174693136453714,0,6381.333333333333
complex,flat,naive,gpt-5-mini,3,5,5,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.05773502691896257,0.3333333333333333,29074.666666666668
complex,structured,advanced,gpt-4.1-mini,3,5,4,0.5,0,0.5784333333333334,0.5972,0.5868000000000001,0.0012124355652982088,1,15224.333333333334
complex,structured,advanced,gpt-5-mini,3,5,5,0.5611,0.2110559878326128,0.5611,0.5611,0.5611,0.2110559878326128,1,22218.666666666668
complex,structured,naive,gpt-4.1-mini,3,5,4,0.4666666666666666,0.05773502691896257,0.5471333333333334,0.5206666666666667,0.5281,0.04867062769268547,0.6666666666666666,3010.6666666666665
complex,structured,naive,gpt-5-mini,3,5,5,0.4000000000000001,6.798699777552591e-17,0.5778,0.4842,0.5143,0,0,22795
main,flat,advanced,gpt-4.1-mini,3,55,54,0.6096666666666667,0.02344553973218216,0.7472,0.7572333333333333,0.7368,0.009401595609256937,0.3333333333333333,2439
main,flat,advanced,gpt-5-mini,3,55,54,0.7407333333333334,0.018550022461801326,0.8508333333333334,0.8423666666666666,0.8403666666666667,0.008695017730478389,1,9518
main,flat,naive,gpt-4.1-mini,3,55,49,0.6187999999999999,0.01974411304667802,0.7766666666666667,0.7898999999999999,0.7689333333333334,0.01176194428371999,4.333333333333333,3016.6666666666665
main,flat,naive,gpt-5-mini,3,55,54,0.7531,0.01073871500692701,0.8386666666666667,0.8525,0.8392666666666666,0.008320056089554531,1,7623.333333333333
main,structured,advanced,gpt-4.1-mini,3,55,55,0.5,0.009099999999999997,0.6312000000000001,0.6806000000000001,0.6302666666666666,0.015127899171178186,0.3333333333333333,2319.6666666666665
main,structured,advanced,gpt-5-mini,3,55,55,0.6526333333333333,0.033538982294239864,0.7589666666666667,0.7923333333333332,0.7581333333333333,0.022697209813836924,0.3333333333333333,9868
main,structured,naive,gpt-4.1-mini,3,55,54,0.5500666666666666,0.014710993621551606,0.6847333333333333,0.7044,0.6769,0.02211877030940015,1.6666666666666667,2238.3333333333335
main,structured,naive,gpt-5-mini,3,55,53,0.6374000000000001,0.013235180391668233,0.7874333333333333,0.7842333333333333,0.7792,0.006872408602520682,1.6666666666666667,8161
