benchmark,structure,schema,model,name,runs,questions_mean,success_rate_mean,success_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
standard,flat,technical,gpt-4.1-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,technical,gpt-4.1-mini,find,3,14,0.7143,0,0.7920000000000001,1.3597399555105182e-16,0.8762333333333334,0.018475208614068043,0.7961666666666666,0.009930424630061559
standard,flat,technical,gpt-4.1-mini,aggregate,3,35.666666666666664,0.5137666666666667,0.036927541663822304,0.6941333333333334,0.018356561043216525,0.6764333333333333,0.019343560513342257,0.6765333333333333,0.018675206379939517
standard,flat,technical,gpt-5-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,technical,gpt-5-mini,find,3,14,0.8809333333333332,0.04128054424705825,0.9394666666666667,0.04510990283001432,0.9434333333333332,0.04128054424705825,0.9413,0.043246618364908014
standard,flat,technical,gpt-5-mini,aggregate,3,35,0.6476333333333334,0.03296670037072759,0.7940333333333335,0.009084235429211048,0.7794333333333334,0.004895235779135995,0.7771666666666667,0.00672780300940313
standard,flat,naive,gpt-4.1-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,naive,gpt-4.1-mini,find,3,13,0.7948666666666666,0.04445597072760116,0.8622333333333333,0.0443982357006822,0.9135,0,0.8622333333333333,0.0443982357006822
standard,flat,naive,gpt-4.1-mini,aggregate,3,32.666666666666664,0.4905,0.023279390026373106,0.7086333333333332,0.01175769251738338,0.7085666666666667,0.007968897874444915,0.6965666666666667,0.009543758868146958
standard,flat,naive,gpt-5-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,flat,naive,gpt-5-mini,find,3,14,0.8094999999999999,0.04122280922013929,0.8719999999999999,0.04122280922013929,0.8719999999999999,0.04122280922013929,0.8719999999999999,0.04122280922013929
standard,flat,naive,gpt-5-mini,aggregate,3,35,0.6952333333333334,0.033024435397646615,0.8022333333333332,0.02880300910205971,0.8236333333333333,0.026542481672468605,0.8031666666666667,0.02920895981258722
complex,flat,technical,gpt-4.1-mini,aggregate,3,5,1,0,1,0,1,0,1,0
complex,flat,technical,gpt-5-mini,aggregate,3,3.6666666666666665,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.04809327742349585
complex,flat,naive,gpt-4.1-mini,aggregate,3,5,0.6,0,0.658,0.025114736709748776,0.6740999999999998,0.03204293994002423,0.6650666666666667,0.028174693136453714
complex,flat,naive,gpt-5-mini,aggregate,3,4.666666666666667,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.05773502691896257
standard,structured,technical,gpt-4.1-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,structured,technical,gpt-4.1-mini,find,3,14,0.5714,0,0.6778999999999998,1.3597399555105182e-16,0.8869000000000001,1.3597399555105182e-16,0.7067,0
standard,structured,technical,gpt-4.1-mini,aggregate,3,35.666666666666664,0.40186666666666665,0.013993689053760383,0.5612,0.02379726875084615,0.5548000000000001,0.022849945295339347,0.5484,0.023305793271201882
standard,structured,technical,gpt-5-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,structured,technical,gpt-5-mini,find,3,14,0.6905000000000001,0.04122280922013929,0.7666666666666666,0.04490081662212094,0.8898666666666667,0.044017534384984916,0.7898,0.04422748014526715
standard,structured,technical,gpt-5-mini,aggregate,3,35.666666666666664,0.5891666666666667,0.036851910850501844,0.7221333333333333,0.022814980458754127,0.7249333333333333,0.02560787639249561,0.7118333333333333,0.022604055683291314
standard,structured,naive,gpt-4.1-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,structured,naive,gpt-4.1-mini,find,3,13,0.6154,0,0.7212,0,0.8356,0,0.7338,0
standard,structured,naive,gpt-4.1-mini,aggregate,3,35.333333333333336,0.4624,0.0211539594402561,0.6268666666666667,0.03323512198463147,0.6144,0.029591890781090664,0.6103000000000001,0.03224701536576679
standard,structured,naive,gpt-5-mini,distinct,3,5,1,0,1,0,1,0,1,0
standard,structured,naive,gpt-5-mini,find,3,13.666666666666666,0.8058666666666666,0.03492969128597236,0.8699666666666666,0.037700972578082574,0.8699666666666666,0.037700972578082574,0.8699666666666666,0.037700972578082574
standard,structured,naive,gpt-5-mini,aggregate,3,34.666666666666664,0.5190666666666667,0.021843610812622868,0.7247333333333333,0.01907991963644847,0.7198333333333333,0.02325302847659489,0.7121333333333334,0.020720601664366147
complex,structured,technical,gpt-4.1-mini,aggregate,3,4,0.5,0,0.5784333333333334,0.002020725942163724,0.5972,0,0.5868000000000001,0.0012124355652982088
complex,structured,technical,gpt-5-mini,aggregate,3,4,0.5611,0.2110559878326128,0.5611,0.2110559878326128,0.5611,0.2110559878326128,0.5611,0.2110559878326128
complex,structured,naive,gpt-4.1-mini,aggregate,3,4.333333333333333,0.4666666666666666,0.05773502691896257,0.5471333333333334,0.08163732806341308,0.5206666666666667,0.03579571668975683,0.5281,0.04867062769268547
complex,structured,naive,gpt-5-mini,aggregate,3,5,0.4000000000000001,6.798699777552591e-17,0.5778,0,0.4842,0,0.5143,0
