benchmark_set,structure,schema,model,name,runs,questions_mean,successful_mean,success_rate_mean,avg_precision_mean,avg_recall_mean,avg_f1_mean
complex,flat,advanced,gpt-4.1-mini,aggregate,3,5,5,1,1,1,1
complex,flat,advanced,gpt-5-mini,aggregate,3,3.6666666666666665,2.6666666666666665,0.7222333333333334,0.7222333333333334,0.7222333333333334,0.7222333333333334
complex,flat,naive,gpt-4.1-mini,aggregate,3,5,3,0.6,0.658,0.6740999999999998,0.6650666666666667
complex,flat,naive,gpt-5-mini,aggregate,3,4.666666666666667,2.6666666666666665,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
complex,structured,advanced,gpt-4.1-mini,aggregate,3,4,2,0.5,0.5784333333333334,0.5972,0.5868000000000001
complex,structured,advanced,gpt-5-mini,aggregate,3,4,2.3333333333333335,0.5611,0.5611,0.5611,0.5611
complex,structured,naive,gpt-4.1-mini,aggregate,3,4.333333333333333,2,0.4666666666666666,0.5471333333333334,0.5206666666666667,0.5281
complex,structured,naive,gpt-5-mini,aggregate,3,5,2,0.4000000000000001,0.5778,0.4842,0.5143
main,flat,advanced,gpt-4.1-mini,aggregate,3,35.666666666666664,18.333333333333332,0.5137666666666667,0.6941333333333334,0.6764333333333333,0.6765333333333333
main,flat,advanced,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,flat,advanced,gpt-4.1-mini,find,3,14,10,0.7143,0.7920000000000001,0.8762333333333334,0.7961666666666666
main,flat,advanced,gpt-5-mini,aggregate,3,35,22.666666666666668,0.6476333333333334,0.7940333333333335,0.7794333333333334,0.7771666666666667
main,flat,advanced,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,flat,advanced,gpt-5-mini,find,3,14,12.333333333333334,0.8809333333333332,0.9394666666666667,0.9434333333333332,0.9413
main,flat,naive,gpt-4.1-mini,aggregate,3,32.666666666666664,16,0.4905,0.7086333333333332,0.7085666666666667,0.6965666666666667
main,flat,naive,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,flat,naive,gpt-4.1-mini,find,3,13,10.333333333333334,0.7948666666666666,0.8622333333333333,0.9135,0.8622333333333333
main,flat,naive,gpt-5-mini,aggregate,3,35,24.333333333333332,0.6952333333333334,0.8022333333333332,0.8236333333333333,0.8031666666666667
main,flat,naive,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,flat,naive,gpt-5-mini,find,3,14,11.333333333333334,0.8094999999999999,0.8719999999999999,0.8719999999999999,0.8719999999999999
main,structured,advanced,gpt-4.1-mini,aggregate,3,35.666666666666664,14.333333333333334,0.40186666666666665,0.5612,0.5548000000000001,0.5484
main,structured,advanced,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,structured,advanced,gpt-4.1-mini,find,3,14,8,0.5714,0.6778999999999998,0.8869000000000001,0.7067
main,structured,advanced,gpt-5-mini,aggregate,3,35.666666666666664,21,0.5891666666666667,0.7221333333333333,0.7249333333333333,0.7118333333333333
main,structured,advanced,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,structured,advanced,gpt-5-mini,find,3,14,9.666666666666666,0.6905000000000001,0.7666666666666666,0.8898666666666667,0.7898
main,structured,naive,gpt-4.1-mini,aggregate,3,35.333333333333336,16.333333333333332,0.4624,0.6268666666666667,0.6144,0.6103000000000001
main,structured,naive,gpt-4.1-mini,distinct,3,5,5,1,1,1,1
main,structured,naive,gpt-4.1-mini,find,3,13,8,0.6154,0.7212,0.8356,0.7338
main,structured,naive,gpt-5-mini,aggregate,3,34.666666666666664,18,0.5190666666666667,0.7247333333333333,0.7198333333333333,0.7121333333333334
main,structured,naive,gpt-5-mini,distinct,3,5,5,1,1,1,1
main,structured,naive,gpt-5-mini,find,3,13.666666666666666,11,0.8058666666666666,0.8699666666666666,0.8699666666666666,0.8699666666666666
