benchmark_set,question_id,structure,schema,model,runs,category,operation,success_rate_mean,precision_mean,recall_mean,f1_mean,error_runs,question
complex,101,flat,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,flat,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,flat,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0.2174,0.2778,0.2439,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,flat,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,structured,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0.10606666666666666,0.12963333333333335,0.11666666666666665,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,structured,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,structured,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,101,structured,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,0,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer."
complex,102,flat,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,102,flat,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,102,flat,naive,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,102,flat,naive,gpt-5-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,102,structured,advanced,gpt-4.1-mini,3,complex_pipeline_stress,aggregate,0,0,0,0,3,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
complex,102,structured,advanced,gpt-5-mini,3,complex_pipeline_stress,aggregate,1,1,1,1,0,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023."
