"benchmark_set","name","configurations","questions_mean","success_rate_mean","avg_precision_mean","avg_recall_mean","avg_f1_mean"
"complex","complex_pipeline_stress","8","4.45833333333333","0.602083333333333","0.651420833333333","0.640770833333333","0.643033333333333"
"main","distinct","8","5","1","1","1","1"
"main","alias_projection","8","4.54166666666667","0.93125","0.936020833333333","0.936","0.936008333333333"
"main","find_projection","8","5","0.725","0.899333333333333","0.954041666666667","0.910733333333333"
"main","text_or_pattern_filter","8","4.83333333333333","0.820833333333333","0.835916666666667","0.987325","0.846483333333333"
"main","aggregate_group_avg","8","5","0.533333333333333","0.776554166666667","0.776554166666667","0.776554166666667"
"main","aggregate_having_sort_limit","8","5","0.725","0.755","0.755","0.755"
"main","selection_conditions","8","4.875","0.710416666666667","0.732641666666667","0.740004166666667","0.735083333333333"
"main","lookup_join","8","4.54166666666667","0.392358333333333","0.625325","0.7545875","0.670183333333333"
"main","aggregate_group_count","8","5","0.4","0.666141666666667","0.666141666666667","0.666141666666667"
"main","quantifier_exists","8","4.95833333333333","0.360416666666667","0.752879166666667","0.600841666666667","0.626729166666667"
"main","aggregate_group_sum","8","4.91666666666667","0.370833333333333","0.377658333333333","0.377658333333333","0.377658333333333"
