benchmark_set,structure,schema_version,model,operation,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
complex,flat,advanced,gpt-4.1-mini,aggregate,15,5,15,1.0,1.0,1.0,1.0,0.0,15.0,15.0,0.0,0.0,0,10243.5333
complex,flat,advanced,gpt-5-mini,aggregate,15,5,8,0.5333,0.7273,0.7273,0.7273,0.4671,15.2727,15.2727,4.9091,4.9091,4,28527.2
complex,flat,naive,gpt-4.1-mini,aggregate,15,5,9,0.6,0.658,0.6741,0.665,0.4313,15.0,17.0,5.8667,7.8667,0,6381.4667
complex,flat,naive,gpt-5-mini,aggregate,15,5,8,0.5333,0.5714,0.5714,0.5714,0.5136,14.6429,14.6429,7.7143,7.7143,1,29074.8667
complex,structured,advanced,gpt-4.1-mini,aggregate,15,5,6,0.4,0.5784,0.5972,0.5868,0.4502,14.0,14.3333,7.25,7.5833,3,15224.2
complex,structured,advanced,gpt-5-mini,aggregate,15,5,7,0.4667,0.5833,0.5833,0.5833,0.5149,15.5833,15.5833,7.5,7.5,3,22218.6667
complex,structured,naive,gpt-4.1-mini,aggregate,15,5,6,0.4,0.5544,0.5238,0.5324,0.4799,14.3846,10.3846,8.6154,4.6154,2,3010.4
complex,structured,naive,gpt-5-mini,aggregate,15,5,6,0.4,0.5778,0.4842,0.5143,0.4639,15.0,14.3333,9.4,8.7333,0,22795.0
normal,flat,advanced,gpt-4.1-mini,aggregate,108,36,55,0.5093,0.6943,0.6766,0.6767,0.4443,24685.6916,24677.9252,52.1121,44.3458,1,2961.963
normal,flat,advanced,gpt-4.1-mini,find,42,14,30,0.7143,0.792,0.8762,0.7961,0.3653,37888.0714,60229.2143,33206.619,55547.7619,0,1682.3333
normal,flat,advanced,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,792.6667
normal,flat,advanced,gpt-5-mini,aggregate,108,36,68,0.6296,0.7941,0.7794,0.7772,0.3826,24649.3714,24613.2952,52.0667,15.9905,3,11434.1852
normal,flat,advanced,gpt-5-mini,find,42,14,37,0.881,0.9395,0.9435,0.9413,0.2159,37888.0714,37810.7857,86.6429,9.3571,0,6847.5238
normal,flat,advanced,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,3197.4667
normal,flat,naive,gpt-4.1-mini,aggregate,108,36,48,0.4444,0.7083,0.7084,0.6963,0.4236,25306.1122,25303.0612,51.6633,48.6122,10,3468.0278
normal,flat,naive,gpt-4.1-mini,find,42,14,31,0.7381,0.8622,0.9135,0.8622,0.3365,40524.0769,44689.6667,35689.6154,39855.2051,3,2486.3333
normal,flat,naive,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,1252.8667
normal,flat,naive,gpt-5-mini,aggregate,108,36,73,0.6759,0.8022,0.8236,0.8032,0.381,23632.9143,23638.0952,36.2667,41.4476,3,9156.5648
normal,flat,naive,gpt-5-mini,find,42,14,34,0.8095,0.872,0.872,0.872,0.3261,37888.0714,15684.8095,22212.619,9.3571,0,5487.2619
normal,flat,naive,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,2562.4
normal,structured,advanced,gpt-4.1-mini,aggregate,108,36,43,0.3981,0.5613,0.5548,0.5485,0.4699,24188.6729,24151.5234,452.215,415.0654,1,2682.213
normal,structured,advanced,gpt-4.1-mini,find,42,14,24,0.5714,0.6779,0.8869,0.7067,0.3823,37888.0714,73851.6429,33189.0,69152.5714,0,1904.6667
normal,structured,advanced,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,869.8
normal,structured,advanced,gpt-5-mini,aggregate,108,36,63,0.5833,0.7219,0.7247,0.7116,0.4196,24686.4112,24656.3458,51.3925,21.3271,1,11459.6759
normal,structured,advanced,gpt-5-mini,find,42,14,29,0.6905,0.7667,0.8899,0.7898,0.3503,37888.0714,40324.4762,11175.1905,13611.5952,0,7875.381
normal,structured,advanced,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,3988.5333
normal,structured,naive,gpt-4.1-mini,aggregate,108,36,49,0.4537,0.6265,0.6141,0.61,0.4696,24919.283,24414.6509,1933.6132,1428.9811,2,2189.5093
normal,structured,naive,gpt-4.1-mini,find,42,14,24,0.5714,0.7212,0.8356,0.7338,0.396,40525.3077,64580.8462,37265.1538,61320.6923,3,2693.119
normal,structured,naive,gpt-4.1-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,1318.6667
normal,structured,naive,gpt-5-mini,aggregate,108,36,54,0.5,0.7247,0.7198,0.7121,0.406,23859.0385,23842.0192,35.8269,18.8077,4,9522.963
normal,structured,naive,gpt-5-mini,find,42,14,33,0.7857,0.8689,0.8689,0.8689,0.3295,38723.878,15979.0732,22754.3902,9.5854,1,6502.3095
normal,structured,naive,gpt-5-mini,distinct,15,5,15,1.0,1.0,1.0,1.0,0.0,46.6,46.6,0.0,0.0,0,2998.8
