benchmark_set,structure,schema_version,model,question_id,question,category,operation,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
complex,flat,advanced,gpt-4.1-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,18.0,18.0,0.0,0.0,0,10747.3333
complex,flat,advanced,gpt-4.1-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,0,6371.6667
complex,flat,advanced,gpt-4.1-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,11747.6667
complex,flat,advanced,gpt-4.1-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,0,2976.6667
complex,flat,advanced,gpt-4.1-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,3,1.0,1.0,1.0,1.0,0.0,18.0,18.0,0.0,0.0,0,19374.3333
complex,flat,advanced,gpt-5-mini,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,3,1,1,0.3333,0.3333,0.3333,0.3333,0.5774,18.0,18.0,12.0,12.0,0,33650.0
complex,flat,advanced,gpt-5-mini,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,3,1,1,0.3333,0.5,0.5,0.5,0.7071,18.0,18.0,9.0,9.0,1,38936.6667
complex,flat,advanced,gpt-5-mini,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,3,1,2,0.6667,1.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,1,17007.0
complex,flat,advanced,gpt-5-mini,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,3,1,2,0.6667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,33964.3333
complex,flat,advanced,gpt-5-mini,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,3,1,2,0.6667,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,1,19078.0
