benchmark_set,question_id,question,category,operation,question_runs,unique_questions,successes,success_rate,avg_precision,avg_recall,avg_f1,sd_f1,avg_gold_count,avg_generated_count,avg_missing_count,avg_extra_count,errors,avg_total_ms
complex,101,"Finn partier med politikere som har selskapsroller. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere og antall rolleoppføringer.",complex_pipeline_stress,aggregate,24,1,4,0.1667,0.2071,0.2176,0.2117,0.3745,18.0,16.5,14.0833,12.5833,0,15504.0417
complex,105,"Finn partier der politikere har minst én selskapsrolle eller minst ett personlig eierskap. Identifiser politikere med navn og fødselsdato. Ta med parti, antall unike politikere, antall rolleoppføringer og antall eierskap.",complex_pipeline_stress,aggregate,24,1,4,0.1667,0.2345,0.2475,0.2402,0.3874,18.0,20.1818,13.5455,15.7273,2,24529.9167
complex,102,"Finn selskaper som både har eierskapsoppføringer i 2023 og aksjeeierbokoppføringer i 2023. Ta med navn, organisasjonsnummer, antall eierskapsoppføringer i 2023 og antall aksjeeierbokoppføringer i 2023.",complex_pipeline_stress,aggregate,24,1,14,0.5833,0.9753,0.8714,0.9048,0.1834,19.0,16.7778,2.4444,0.2222,6,18307.8333
complex,104,"Finn de 20 selskapene med flest samlede rolleoppføringer og eierskapsoppføringer. Ta med navn, organisasjonsnummer, antall roller, antall eierskap og totalt antall relasjoner. Sorter synkende på totalt antall relasjoner og stigende på organisasjonsnummer ved likt antall.",complex_pipeline_stress,aggregate,24,1,21,0.875,1.0,1.0,1.0,0.0,20.0,20.0,0.0,0.0,3,8627.1667
complex,103,"Finn politikere som både eier aksjer i et selskap og har en rolle i samme selskap. Identifiser politikere med navn og fødselsdato. Ta med navn, fødselsdato, parti, selskap, organisasjonsnummer, rolle og eierandel.",complex_pipeline_stress,aggregate,24,1,22,0.9167,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,18953.125
normal,43,Finn gjennomsnittlig antall aksjer per landkode i aksjeeierboken.,aggregate_group_avg,aggregate,24,1,0,0.0,0.9882,0.9882,0.9882,0.0,85.0,85.0,1.0,1.0,0,5309.9583
normal,32,Finn antall selskaper per organisasjonstype.,aggregate_group_count,aggregate,24,1,0,0.0,0.8571,0.8571,0.8571,0.0,7.0,7.0,1.0,1.0,0,3287.9167
normal,34,Finn antall aksjonærer per landkode.,aggregate_group_count,aggregate,24,1,0,0.0,0.4735,0.4735,0.4735,0.4443,85.0,85.0,44.75,44.75,0,5539.4583
normal,35,Finn antall eierskapsoppføringer per år.,aggregate_group_count,aggregate,24,1,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,4390.375
normal,37,Finn totalt antall aksjer eid per person.,aggregate_group_sum,aggregate,24,1,0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,76.0,76.0,1,5683.75
