benchmark_set,structure,schema_version,model,runs,total_questions_per_run,mean_success_rate,sd_success_rate,min_success_rate,max_success_rate,mean_precision,mean_recall,mean_f1,sd_f1,mean_total_run_ms,mean_avg_per_question_ms,total_errors,total_llm_errors,total_generated_query_errors
complex,flat,advanced,gpt-4.1-mini,3,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,51239.0,10243.6667,0.0,0.0,0.0
complex,flat,advanced,gpt-5-mini,3,5,0.7222,0.0481,0.6667,0.75,0.7222,0.7222,0.7222,0.0481,142658.0,28527.3333,4.0,4.0,0.0
complex,flat,naive,gpt-4.1-mini,3,5,0.6,0.0,0.6,0.6,0.658,0.6741,0.6651,0.0282,31914.0,6381.3333,0.0,0.0,0.0
complex,flat,naive,gpt-5-mini,3,5,0.5667,0.0577,0.5,0.6,0.5667,0.5667,0.5667,0.0577,145382.6667,29074.6667,1.0,0.0,1.0
complex,structured,advanced,gpt-4.1-mini,3,5,0.5,0.0,0.5,0.5,0.5784,0.5972,0.5868,0.0012,76160.6667,15224.3333,3.0,0.0,3.0
complex,structured,advanced,gpt-5-mini,3,5,0.5611,0.2111,0.3333,0.75,0.5611,0.5611,0.5611,0.2111,111133.3333,22218.6667,3.0,3.0,0.0
complex,structured,naive,gpt-4.1-mini,3,5,0.4667,0.0577,0.4,0.5,0.5471,0.5207,0.5281,0.0487,15062.0,3010.6667,2.0,2.0,0.0
complex,structured,naive,gpt-5-mini,3,5,0.4,0.0,0.4,0.4,0.5778,0.4842,0.5143,0.0,113983.3333,22795.0,0.0,0.0,0.0
normal,flat,advanced,gpt-4.1-mini,3,55,0.6097,0.0234,0.5926,0.6364,0.7472,0.7572,0.7368,0.0094,134665.6667,2439.0,1.0,1.0,0.0
normal,flat,advanced,gpt-5-mini,3,55,0.7407,0.0186,0.7222,0.7593,0.8508,0.8424,0.8404,0.0087,523973.3333,9518.0,3.0,2.0,1.0
normal,flat,naive,gpt-4.1-mini,3,55,0.6188,0.0197,0.5962,0.6327,0.7767,0.7899,0.7689,0.0118,166390.6667,3016.6667,13.0,9.0,4.0
normal,flat,naive,gpt-5-mini,3,55,0.7531,0.0107,0.7407,0.7593,0.8387,0.8525,0.8393,0.0083,419724.0,7623.3333,3.0,0.0,3.0
normal,structured,advanced,gpt-4.1-mini,3,55,0.5,0.0091,0.4909,0.5091,0.6312,0.6806,0.6303,0.0151,128119.6667,2319.6667,1.0,0.0,1.0
normal,structured,advanced,gpt-5-mini,3,55,0.6526,0.0335,0.6182,0.6852,0.759,0.7923,0.7581,0.0227,543273.3333,9868.0,1.0,0.0,1.0
normal,structured,naive,gpt-4.1-mini,3,55,0.5501,0.0147,0.537,0.566,0.6847,0.7044,0.6769,0.0221,123644.6667,2238.3333,5.0,5.0,0.0
normal,structured,naive,gpt-5-mini,3,55,0.6374,0.0132,0.6226,0.6481,0.7874,0.7842,0.7792,0.0069,449342.6667,8161.0,5.0,0.0,5.0
